domain,base_url,email_general,phone_general,tg,vk,youtube,instagram,inn,ogrn,kpp,lms_detected,main_category,about_pages,last_crawled_utc,source,icp_score,priority
3nitypsy.ru,https://3nitypsy.ru,info@3nitypsy.ru,81401645499,https://t.me/IlAnEd,,,,631608015706,,,getcourse,Languages,https://3nitypsy.ru/privacypolicy;https://3nitypsy.ru/about,2026-05-26T14:53:34Z,sources.txt,75,A
aam-academy.ru,https://aam-academy.ru,Ekaterina.kalashchenko@gmail.com,85965729317,https://t.me/aam_academy_zabota.</span,https://vk.com/e.kalashchenko,https://www.youtube.com/channel/UCViJRwnbSWvE9cV64gN7dog,,027718054985,,,getcourse,IT,https://aam-academy.ru/privacy;https://aam-academy.ru/contacts;https://aam-academy.ru/oferta,2026-05-26T14:53:40Z,sources.txt,75,A
academybrokers.ru,https://academybrokers.ru,,,,,,,,,,unknown,IT,,2026-05-26T14:53:44Z,sources.txt,10,C
academyorator.ru,https://academyorator.ru,oratoracademy@bk.ru,81401645499,,,,,165128430007,,,getcourse,IT,https://academyorator.ru/cms/system/contact;https://academyorator.ru/about;https://academyorator.ru/privacy,2026-05-26T14:53:50Z,sources.txt,65,A
acharashoolovna.ru,https://acharashoolovna.ru,,,,,,,,,,getcourse,Languages,https://acharashoolovna.ru/about,2026-05-26T14:53:56Z,sources.txt,25,C
acrylicstudio.online,https://acrylicstudio.online,studia.acrylic@mail.ru,81401645499,,,,,165906402485,,,getcourse,IT,https://acrylicstudio.online/cms/system/contact;https://acrylicstudio.online/oferta;https://acrylicstudio.online/about,2026-05-26T14:54:02Z,sources.txt,65,A
addatattoo.pro,https://addatattoo.pro,,81401645499,,,,,510204055914,,,getcourse,IT,https://addatattoo.pro/cms/system/contact;https://addatattoo.pro/about;https://addatattoo.pro/oferta,2026-05-26T14:54:08Z,sources.txt,45,B
aglashevich.ru,https://aglashevich.ru,aglashay.group@gmail.com,81401645499,,,,,470617476557,,,getcourse,IT,https://aglashevich.ru/cms/system/contact;https://aglashevich.ru/about;https://aglashevich.ru/oferta,2026-05-26T14:54:14Z,sources.txt,65,A
aigulbatyrshina.ru,https://aigulbatyrshina.ru,aigulbatyrshina@yandex.ru,81401645499,https://t.me/aigulbatyrshina.ru,,,,164305177755,,,getcourse,IT,https://aigulbatyrshina.ru/cms/system/contact;https://aigulbatyrshina.ru/oferta;https://aigulbatyrshina.ru/about,2026-05-26T14:54:21Z,sources.txt,75,A
aiinteriorlab.ru,https://aiinteriorlab.ru,,,,,,,,,,getcourse,Languages,https://aiinteriorlab.ru/about,2026-05-26T14:54:26Z,sources.txt,25,C
albus-school.ru,https://albus-school.ru,,,,,,,,,,getcourse,IT,https://albus-school.ru/cms/system/contact;https://albus-school.ru/about,2026-05-26T14:54:32Z,sources.txt,25,C
aleksafit.com,https://aleksafit.com,,83333333333,,,,,,,,unknown,Languages,https://aleksafit.com/contact;https://aleksafit.com/about,2026-05-26T14:54:36Z,sources.txt,20,C
alexandravereteno.ru,https://alexandravereteno.ru,info@alexandravereteno.ru,88283261000,https://t.me/alexandravereteno,https://vk.com/alexandravereteno,https://www.youtube.com/channel/UCxlk-EDuryi5q_GcZEUZufg,,550520020175,,,getcourse,IT,https://alexandravereteno.ru/privacy-policy;https://alexandravereteno.ru/oferta,2026-05-26T14:54:41Z,sources.txt,75,A
algoritm-reels.ru,https://algoritm-reels.ru,gilmanov.work@gmail.com,80214308000,,,,,162802895590,,,getcourse,IT,https://algoritm-reels.ru/oferta;https://algoritm-reels.ru/pol,2026-05-26T14:54:48Z,sources.txt,65,A
allabelyavskaya.ru,https://allabelyavskaya.ru,as.belyavskaya@gmail.com,80329835439,https://t.me/allabeliavskaia,https://vk.com/allabelyavskaya,https://www.youtube.com/@allabelyavskaya,https://instagram.com/alla.belyavskaya.live,366606036080,,,getcourse,IT,https://allabelyavskaya.ru/contacts;https://allabelyavskaya.ru/oferta;https://allabelyavskaya.ru/contact;https://allabelyavskaya.ru/oferta/,2026-05-26T14:55:00Z,sources.txt,75,A
allazova.school,https://allazova.school,neurograff.tex@gmail.com,80683002967,,,,,503103829790,,,getcourse,IT,https://allazova.school/about;https://allazova.school/privacy;https://allazova.school/oferta;https://allazova.school/cms/system/contact,2026-05-26T14:55:07Z,sources.txt,65,A
alsukamakaeva.ru,https://alsukamakaeva.ru,,,,,,,,,,getcourse,IT,https://alsukamakaeva.ru/cms/system/contact;https://alsukamakaeva.ru/about,2026-05-26T14:55:13Z,sources.txt,25,C
alybodrova.ru,https://alybodrova.ru,,,,,,,,,,getcourse,IT,https://alybodrova.ru/cms/system/contact;https://alybodrova.ru/about,2026-05-26T14:55:19Z,sources.txt,25,C
americanaccent.ru,https://americanaccent.ru,american_accent@mail.ru,81401645499,,,,,774333892710,,,getcourse,IT,https://americanaccent.ru/cms/system/contact;https://americanaccent.ru/about;https://americanaccent.ru/oferta,2026-05-26T14:55:25Z,sources.txt,65,A
amicourses.ru,https://amicourses.ru,info@amicourses.ru,81401645499,https://t.me/AMIcourses,https://vk.com/club234899490,,,781613770603,,,getcourse,IT,https://amicourses.ru/about,2026-05-26T14:55:30Z,sources.txt,75,A
amzbaza.ru,https://amzbaza.ru,,81401645499,,,,,502717482186,,,getcourse,Languages,https://amzbaza.ru/about,2026-05-26T14:55:35Z,sources.txt,45,B
an-noor-school.ru,https://an-noor-school.ru,bulatovaaf@mail.ru,81401645499,,,,,165919195564,,,getcourse,Languages,https://an-noor-school.ru/oferta;https://an-noor-school.ru/about,2026-05-26T14:55:41Z,sources.txt,65,A
anaitpsychology.ru,https://anaitpsychology.ru,anaitgrigoryan@anaitpsychology.ru,81401645499,https://t.me/anaitpsychology,,,,507408103908,,,getcourse,IT,https://anaitpsychology.ru/contacts;https://anaitpsychology.ru/about;https://anaitpsychology.ru/public-offer-contract;https://anaitpsychology.ru/personal-data-processing-policy,2026-05-26T14:55:46Z,sources.txt,75,A
anastasia-art-school.ru,https://anastasia-art-school.ru,feodora.2020@gmail.com,81401645499,,,,,503214427409,,,getcourse,IT,https://anastasia-art-school.ru/about;https://anastasia-art-school.ru/oferta;https://anastasia-art-school.ru/cms/system/contact,2026-05-26T14:55:52Z,sources.txt,65,A
anastasiyastetsenko.ru,https://anastasiyastetsenko.ru,,86116101604,,,,,,,,getcourse,IT,https://anastasiyastetsenko.ru/cms/system/contact;https://anastasiyastetsenko.ru/about,2026-05-26T14:55:58Z,sources.txt,35,B
anbolotova.ru,https://anbolotova.ru,,80537487124,https://t.me/anbolotova,,https://www.youtube.com/@anbolotova,https://instagram.com/an.bolotova,780537487124,,,tilda_site,IT,,2026-05-26T14:56:03Z,sources.txt,55,A
andrewpermikinclub.online,https://andrewpermikinclub.online,,,,,,,,,,getcourse,Languages,https://andrewpermikinclub.online/about,2026-05-26T14:56:09Z,sources.txt,25,C
andreyprodetey.ru,https://andreyprodetey.ru,andrey_pro_detey@mail.ru,83302528317,https://t.me/andrey_pro_detey,,,https://www.instagram.com/andrey_pro_detey?igsh=ZDdxNDJucmliMnho&utm_source=qr,780542882715,,,getcourse,IT,http://andreyprodetey.ru/page59313757.html;http://andreyprodetey.ru/page59314687.html,2026-05-26T14:56:15Z,sources.txt,75,A
anfinogenov.pro,https://anfinogenov.pro,mikhail@anfinogenov.pro,83205161693,,https://vk.com/anfinogenovmikhail,https://www.youtube.com/@CorrectTables,,972702408210,,,getcourse,IT,https://anfinogenov.pro/policy;https://anfinogenov.pro/oferta,2026-05-26T14:56:22Z,sources.txt,75,A
anis-school.art,https://anis-school.art,info@anis-school.art,81401645499,,,,,782505323423,,,getcourse,Languages,https://anis-school.art/privacy;https://anis-school.art/oferta;https://anis-school.art/about,2026-05-26T14:56:27Z,sources.txt,65,A
annakuritcyna.com,https://annakuritcyna.com,ankuritcina83@mail.ru,+7 903 180 07 93,https://t.me/annakuritcyna_kanal,https://vk.com/annakuritcyna,,https://www.instagram.com/anna.kuritcyna_mentor/,,,,tilda_site,IT,http://annakuritcyna.com/policy;https://annakuritcyna.com/,2026-05-26T14:56:32Z,sources.txt,65,A
annasedelnikova.ru,https://annasedelnikova.ru,Sa2071155@yandex.ru,83136616464,https://t.me/sedelnikova_anna,,,,,,,tilda_site,IT,https://annasedelnikova.ru/data;https://annasedelnikova.ru/#aboutAnna,2026-05-26T14:56:38Z,sources.txt,65,A
annashestopalova.ru,https://annashestopalova.ru,anna.powerbi@yandex.ru,81401645499,https://t.me/annashestopalova_school,https://vk.com/annashestopalova_school,https://www.youtube.com/@annashestopalova,,,,,getcourse,IT,https://annashestopalova.ru/about;https://annashestopalova.ru#contacts;https://annashestopalova.ru/personal_data_policy,2026-05-26T14:56:43Z,sources.txt,65,A
anokhina-stylelab.ru,https://anokhina-stylelab.ru,,81401645499,,,,,772579825894,,,getcourse,Languages,https://anokhina-stylelab.ru/oferta;https://anokhina-stylelab.ru/about,2026-05-26T14:56:49Z,sources.txt,45,B
antroposchool.ru,https://antroposchool.ru,,,,,,,,,,getcourse,IT,https://antroposchool.ru/cms/system/contact;https://antroposchool.ru/about,2026-05-26T14:56:54Z,sources.txt,25,C
aprofitness.ru,https://aprofitness.ru,alisa08kash@gmail.com,81401645499,https://t.me/alisa_lebed,,,https://www.instagram.com/alisa_lebed/,222213315430,,,getcourse,IT,https://aprofitness.ru/about;https://aprofitness.ru/cms/system/contact;https://aprofitness.ru/contact;https://aprofitness.ru/oferta,2026-05-26T14:57:01Z,sources.txt,75,A
aquababyschool.ru,https://aquababyschool.ru,,81401645499,,,,,245906513940,,,getcourse,IT,https://aquababyschool.ru/about;https://aquababyschool.ru/contacts;https://aquababyschool.ru/cms/system/contact,2026-05-26T14:57:07Z,sources.txt,45,B
arazumovskaya.ru,https://arazumovskaya.ru,,,,,,,,,,getcourse,IT,https://arazumovskaya.ru/about;https://arazumovskaya.ru/cms/system/contact,2026-05-26T14:57:13Z,sources.txt,25,C
armine-aeroflex.ru,https://armine-aeroflex.ru,madam.potikyan@yandex.ru,80802174315,,,,,472005915280,,,getcourse,IT,https://school.armine-aeroflex.ru/oferta,2026-05-26T14:57:20Z,sources.txt,65,A
arpacademy.ru,https://arpacademy.ru,,,,https://vk.com/rtrg?p=VK-RTRG-1763854-2qvhU,,,,,,getcourse,IT,https://arpacademy.ru/about;https://arpacademy.ru/cms/system/contact,2026-05-26T14:57:26Z,sources.txt,35,B
as-stasi.ru,https://as-stasi.ru,,,,,,,,,,getcourse,Languages,https://as-stasi.ru/about,2026-05-26T14:57:31Z,sources.txt,25,C
astra108.ru,https://astra108.ru,,83083955501,,,,,,,,getcourse,Languages,https://astra108.ru/about,2026-05-26T14:57:37Z,sources.txt,35,B
astrolog-eliseeva.ru,https://astrolog-eliseeva.ru,astrologeliseeva@yandex.ru,81401645499,,,,,244705353892,,,getcourse,Languages,https://astrolog-eliseeva.ru/oferta;https://astrolog-eliseeva.ru/cms/system/contact;https://astrolog-eliseeva.ru/about,2026-05-26T14:57:43Z,sources.txt,65,A
astropraktik.ru,https://astropraktik.ru,mail@astropraktik.ru,81401645499,,,https://www.youtube.com/embed/_PIjqpgx4ZQ,,502900249333,,,getcourse,Languages,https://astropraktik.ru/about;https://astropraktik.ru/oferta;https://astropraktik.ru/privacy_policy,2026-05-26T14:57:49Z,sources.txt,75,A
astroprofit.ru,https://astroprofit.ru,info@astroprofit.ru,85928853058,,,,,773507071463,,,getcourse,Languages,https://astroprofit.ru/contacts;https://astroprofit.ru/about,2026-05-26T14:57:55Z,sources.txt,65,A
atmaland.ru,https://atmaland.ru,,,,,,,,,,getcourse,IT,https://atmaland.ru/about,2026-05-26T14:58:01Z,sources.txt,25,C
aurveda.space,https://aurveda.space,info@pishakaklekarstvo.getcourse.ru,81401645499,,,,,772329879230,,,getcourse,IT,https://aurveda.space/cms/system/contact;https://aurveda.space/oferta;https://aurveda.space/about,2026-05-26T14:58:07Z,sources.txt,65,A
autocad-prosto.ru,https://autocad-prosto.ru,,+79997869939,https://t.me/mr_svet,https://vk.com/autocadprosto,https://www.youtube.com/embed/gx3NfjF70k0?si=PXKn31DfHCs-cHZp,,,,,unknown,Other,,2026-05-26T14:58:12Z,sources.txt,20,C
azaliya-ruff.ru,https://azaliya-ruff.ru,azaliyaruff@gmail.com,,,,,,,,,getcourse,IT,https://azaliya-ruff.ru/oferta;https://azaliya-ruff.ru/cms/system/contact;https://azaliya-ruff.ru/about,2026-05-26T14:58:18Z,sources.txt,45,B
balancebybarbaris.ru,https://balancebybarbaris.ru,info@balancebybarbaris.ru,81401645499,,,,,772352592243,,,getcourse,Languages,https://balancebybarbaris.ru/about;https://balancebybarbaris.ru/oferta,2026-05-26T14:58:24Z,sources.txt,65,A
barnowski.ru,https://barnowski.ru,,,,,,,,,,getcourse,Languages,https://barnowski.ru/about,2026-05-26T14:58:29Z,sources.txt,25,C
be-balanced.ru,https://be-balanced.ru,info@be-balanced.ru,81401645499,,,,,503809923435,,,getcourse,IT,https://be-balanced.ru/oferta;https://be-balanced.ru/cms/system/contact;https://be-balanced.ru/about,2026-05-26T14:58:35Z,sources.txt,65,A
befitschool.ru,https://befitschool.ru,,,,,,,,,,getcourse,IT,https://befitschool.ru/about;https://befitschool.ru/cms/system/contact,2026-05-26T14:58:45Z,sources.txt,25,C
beinstream.ru,https://beinstream.ru,,,,,,,,,,getcourse,IT,https://beinstream.ru/about;https://beinstream.ru/cms/system/contact,2026-05-26T14:58:51Z,sources.txt,25,C
berebooted.ru,https://berebooted.ru,info@berebooted.ru,81401645499,https://t.me/trua_health_bot,https://vk.com/market/product/razbor-cherez-igru-236838479-16396220,,https://www.instagram.com/trua_health/,500117680432,,,getcourse,Languages,https://berebooted.ru/about;https://berebooted.ru/legal;https://berebooted.ru#lesson3,2026-05-26T14:58:57Z,sources.txt,75,A
bernatcolor.pro,https://bernatcolor.pro,nalima225@gmail.com,81401645499,,,,,670003013760,,,getcourse,Languages,https://bernatcolor.pro/privacy;https://bernatcolor.pro/legal;https://bernatcolor.pro/about,2026-05-26T14:59:03Z,sources.txt,65,A
biobalanceok.ru,https://biobalanceok.ru,gorbatova.ks.oksana@gmail.com,81401645499,,,,,773615167395,,,getcourse,Languages,https://biobalanceok.ru/about;https://biobalanceok.ru/oferta,2026-05-26T14:59:09Z,sources.txt,65,A
blenderverse.ru,https://blenderverse.ru,,,,,,,,,,getcourse,IT,https://blenderverse.ru/cms/system/contact;https://blenderverse.ru/about,2026-05-26T14:59:15Z,sources.txt,25,C
bogomolovaschool.ru,https://bogomolovaschool.ru,anna-bogi@mail.ru,81401645499,,,,,550206756445,,,getcourse,IT,https://bogomolovaschool.ru/cms/system/contact;https://bogomolovaschool.ru/oferta;https://bogomolovaschool.ru/about,2026-05-26T14:59:22Z,sources.txt,65,A
boldyrevguitarschool.ru,https://boldyrevguitarschool.ru,hello@boldyrevguitarschool.ru,81401645499,https://t.me/boldyrev_guitar_school,https://vk.com/fingerstyleschool,https://www.youtube.com/c/NikitaBoldyrev,https://www.instagram.com/boldyrev_guitar_school,773431422302,1197746675170,773101001,getcourse,Languages,https://boldyrevguitarschool.ru/about;https://boldyrevguitarschool.ru/policy;https://boldyrevguitarschool.ru/contacts;https://boldyrevguitarschool.ru/oferta,2026-05-26T14:59:27Z,sources.txt,75,A
breathing-with-olesya.ru,https://breathing-with-olesya.ru,,,,,,,,,,getcourse,Languages,https://breathing-with-olesya.ru/about,2026-05-26T14:59:33Z,sources.txt,25,C
bukhonina.ru,https://bukhonina.ru,,,,,,,,,,getcourse,IT,https://bukhonina.ru/about;https://bukhonina.ru/cms/system/contact,2026-05-26T14:59:39Z,sources.txt,25,C
businessfromair.ru,https://businessfromair.ru,,,,,,,,,,getcourse,Languages,https://businessfromair.ru/about,2026-05-26T14:59:46Z,sources.txt,25,C
